date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:20	31785/31785	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Sep%202025%2015:35:29%20GMT	https://www.mairamansoor.com/projects/taxila4kids	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/projects/taxila4kids.html	(from https://www.mairamansoor.com/)
00:59:20	9925/9925	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Sep%202025%2018:48:58%20GMT	https://www.mairamansoor.com/about-me	C:/Maira/Maira%20Portfolio/www.mairamansoor.com/about-me.html	(from https://www.mairamansoor.com/)
00:59:21	6967/6967	---M--	200	added ('OK')	image/png	etag:%22d193dadad3087d07e7376f2a1ed08a00%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665932fbe71a1dc2012a7653_ciscoulogo.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665932fbe71a1dc2012a7653_ciscoulogo.png	(from https://www.mairamansoor.com/)
00:59:21	472682/472682	---M--	200	added ('OK')	image/jpeg	etag:%227bb4801bbc7fad68385e0e88b3377562%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/65433602e13d4d2e7be8c925_maira.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/65433602e13d4d2e7be8c925_maira.jpg	(from https://www.mairamansoor.com/)
00:59:22	20931/20931	---M--	200	added ('OK')	image/jpeg	etag:%22f763ccfbb0d3e3c556f48cd36c4edf1a%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66593361a86b22c4190e14c2_mmbllogo.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66593361a86b22c4190e14c2_mmbllogo.jpg	(from https://www.mairamansoor.com/)
00:59:23	629675/629675	---M--	200	added ('OK')	image/png	etag:%225dc5932855404a22cf7a35bdb2ba6cd7%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/677697c95838891843c02fc3_ciscotile2.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/677697c95838891843c02fc3_ciscotile2.png	(from https://www.mairamansoor.com/)
00:59:23	25728/25728	---M--	200	added ('OK')	image/png	etag:%22c4ec8aa8daeaad2fd5ac2e6a42f0c200%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673ba51652c591cea8a3c6c_heart.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673ba51652c591cea8a3c6c_heart.png	(from https://www.mairamansoor.com/)
00:59:23	1141060/1141060	---M--	200	added ('OK')	image/png	etag:%22688fb7b9f47830930f81779edf4e36d3%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e4200101a210ec529e5b8_pplhubtile.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e4200101a210ec529e5b8_pplhubtile.png	(from https://www.mairamansoor.com/)
00:59:23	34750/34750	---M--	200	added ('OK')	image/png	etag:%2291abb024c9e150e48621a5d8609ae57f%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66593555f718747a2db12226_urnlogo.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/66593555f718747a2db12226_urnlogo.png	(from https://www.mairamansoor.com/)
00:59:24	1331521/1331521	---M--	200	added ('OK')	image/png	etag:%22ebdf793aef404f473562f5d0f6c8815b%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673b916c5d0c7494d8f2ec0_capstone-tile.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673b916c5d0c7494d8f2ec0_capstone-tile.png	(from https://www.mairamansoor.com/)
00:59:25	89476/89476	---M--	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=652c8aa129f6f7d9d2c6fe2f	C:/Maira/Maira%20Portfolio/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8c08c.js	(from https://www.mairamansoor.com/)
00:59:25	190330/190330	---MCZ	200	added ('OK')	text/javascript	etag:W/%2229b539cac2af56638d9859c767dc7a86%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/js/webflow.428d5143968e4d975501c99dfa61c275.js	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/js/webflow.428d5143968e4d975501c99dfa61c275.js	(from https://www.mairamansoor.com/)
00:59:26	1030099/1030099	---M--	200	added ('OK')	image/png	etag:%22e59b6a639e7180c8b56617916ba4efdd%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e4200751af8fe3ce40316_taxilatile.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e4200751af8fe3ce40316_taxilatile.png	(from https://www.mairamansoor.com/)
00:59:26	5823/5823	---M--	200	added ('OK')	image/png	etag:%2230c453b7f5fbdb09ea0cb42a5dc7a6e5%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6544457055a07b8478c0ea97_linkedin.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6544457055a07b8478c0ea97_linkedin.png	(from https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/css/mairamansoor.webflow.4afed9bca.css)
00:59:27	2609169/2609169	---M--	200	added ('OK')	image/png	etag:%228b61442ab70c9a1414c9c6bfa0b2a62e%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/652cc2b77568770d04af8dde_2.PNG	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/652cc2b77568770d04af8dde_2.png	(from https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/css/mairamansoor.webflow.4afed9bca.css)
00:59:27	1041200/1041200	---M--	200	added ('OK')	image/png	etag:%222e7aa7485f616a23604c239f9a057606%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6659255cc9bd4c2b2a75fc0b_pplhubtile.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6659255cc9bd4c2b2a75fc0b_pplhubtile.png	(from https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/css/mairamansoor.webflow.4afed9bca.css)
00:59:28	669379/669379	---M--	200	added ('OK')	image/png	etag:%22ae1ca70920a414700f118cd72a068464%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673b3213f29cec166c4e0c1_tile.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/6673b3213f29cec166c4e0c1_tile.png	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:29	100633/100633	---M--	200	added ('OK')	image/jpeg	etag:%22990c9e00d78a4afb11a7d65cf6f21297%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665bf4a6b413b5d81d948841_memes.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665bf4a6b413b5d81d948841_memes.jpg	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:29	1190846/1190846	---M--	200	added ('OK')	image/jpeg	etag:%2272163ebf7a0929aa14266b5b4e2b1ec6%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e311efa5316b5fa7799f7_papers.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e311efa5316b5fa7799f7_papers.jpg	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:30	3740/3740	---M--	200	added ('OK')	image/png	etag:%22f704c3eb40cc7b71ca696930459659bc%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e3541e78e94339a61f97d_right-arrow%201.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e3541e78e94339a61f97d_right-arrow%201.png	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:31	3762/3762	---M--	200	added ('OK')	image/png	etag:%22da08f8c21916d5dfd5df628f8a399d2e%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e354167597055a02bf766_left-arrow%201.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e354167597055a02bf766_left-arrow%201.png	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:31	640670/640670	---M--	200	added ('OK')	image/jpeg	etag:%22c2aa3fff763cd90b9e5857e666c45b31%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e2f1b723011cc1e4a733c_media-types.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e2f1b723011cc1e4a733c_media-types.jpg	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:32	463088/463088	---M--	200	added ('OK')	image/jpeg	etag:%229af3ff204c014a592582456c7a97a17f%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e303e15136b2f32ec653a_coding.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e303e15136b2f32ec653a_coding.jpg	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:33	201348/201348	---M--	200	added ('OK')	image/png	etag:%2217cc882a40461e6795749f16ff5e31a4%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665bf77287eb629529ff84ea_thematic-analysis.png	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665bf77287eb629529ff84ea_thematic-analysis.png	(from https://www.mairamansoor.com/projects/capstone-project)
00:59:34	275778/275778	---M--	200	added ('OK')	image/jpeg	etag:%22fa04445427f919e8964478fe4351cd4a%22	https://cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e2f886a1e628bcd16927d_probe.jpg	C:/Maira/Maira%20Portfolio/cdn.prod.website-files.com/652c8aa129f6f7d9d2c6fe2f/665e2f886a1e628bcd16927d_probe.jpg	(from https://www.mairamansoor.com/projects/capstone-project)
